city,state,lat,lon,timestamp,pm2_5,pm10,no2,o3,so2,co,aqi_category
Kochi,Kerala,9.9312,76.2673,2025-11-23T14:00,14.3,14.5,5.7,140.0,5.0,275.0,Good
Nellore,Andhra Pradesh,14.4426,79.9865,2025-11-23T14:00,4.8,6.6,1.3,81.0,1.7,187.0,Good
Bhavnagar,Gujarat,21.7645,72.1519,2025-11-23T14:00,48.8,51.3,2.4,171.0,16.1,410.0,Satisfactory
Dehradun,Uttarakhand,30.3165,78.0322,2025-11-23T14:00,39.1,42.1,2.2,160.0,24.0,479.0,Satisfactory
Durgapur,West Bengal,23.5204,87.3119,2025-11-23T14:00,94.1,101.0,16.4,171.0,52.7,393.0,Poor
Asansol,West Bengal,23.6739,86.9524,2025-11-23T14:00,93.6,100.6,15.6,172.0,51.1,388.0,Poor
Rourkela,Odisha,22.2604,84.8536,2025-11-23T14:00,67.3,71.0,2.6,187.0,60.8,448.0,Moderate
Nanded,Maharashtra,19.1383,77.321,2025-11-23T14:00,20.1,20.8,1.2,133.0,4.7,316.0,Good
Kolhapur,Maharashtra,16.705,74.2433,2025-11-23T14:00,17.8,19.2,2.0,139.0,3.7,251.0,Good
Ajmer,Rajasthan,26.4499,74.6399,2025-11-23T14:00,59.6,63.6,1.7,165.0,17.2,355.0,Satisfactory
Akola,Maharashtra,20.7002,77.0082,2025-11-23T14:00,28.3,28.8,2.6,163.0,17.4,314.0,Good
Gulbarga,Karnataka,17.3297,76.8343,2025-11-23T14:00,14.1,15.3,1.6,140.0,4.4,245.0,Good
Jamnagar,Gujarat,22.4707,70.0577,2025-11-23T14:00,18.6,21.5,4.0,158.0,16.6,292.0,Good
Ujjain,Madhya Pradesh,23.1765,75.7819,2025-11-23T14:00,66.6,70.3,1.5,161.0,14.2,357.0,Moderate
Loni,Uttar Pradesh,28.7501,77.2911,2025-11-23T14:00,99.2,101.5,11.1,211.0,48.2,615.0,Poor
Siliguri,West Bengal,26.7271,88.3953,2025-11-23T14:00,40.2,41.9,2.1,149.0,5.5,413.0,Satisfactory
Jhansi,Uttar Pradesh,25.4484,78.5685,2025-11-23T14:00,56.7,61.9,2.9,165.0,23.3,382.0,Satisfactory
Ulhasnagar,Maharashtra,19.2215,73.1645,2025-11-23T14:00,34.0,34.8,6.6,211.0,12.7,336.0,Satisfactory
Jammu,Jammu and Kashmir,32.7266,74.857,2025-11-23T14:00,44.8,47.5,3.9,176.0,18.3,591.0,Satisfactory
Sangli-Miraj & Kupwad,Maharashtra,16.8524,74.5815,2025-11-23T14:00,17.8,19.2,2.0,139.0,3.7,227.0,Good
Mangalore,Karnataka,12.9141,74.856,2025-11-23T14:00,10.8,12.7,3.0,100.0,2.3,294.0,Good
Erode,Tamil Nadu,11.341,77.7172,2025-11-23T14:00,6.6,6.8,4.1,80.0,3.2,232.0,Good
Belgaum,Karnataka,15.8497,74.4977,2025-11-23T14:00,16.4,17.8,2.0,141.0,4.3,206.0,Good
Ambattur,Tamil Nadu,13.1143,80.1548,2025-11-23T14:00,5.7,6.4,6.3,78.0,12.1,287.0,Good
Tirunelveli,Tamil Nadu,8.7139,77.7567,2025-11-23T14:00,6.4,6.5,5.0,65.0,3.3,234.0,Good
